value_f,size
-2851.0,0
-1851.0407141945338,1
-861.1380898928,2
136.68404700863266,3
1120.2819702744014,4
2096.6435114263954,5
3088.859436530036,6
4075.4840257753604,7
5026.631251026712,8
6013.4774548433925,9
6987.99678901164,10
7958.604833627056,11
8949.438444872576,12
9927.323668707077,13
10903.68038672206,14
11886.339187641686,15
12785.430698319182,16
13774.644750568135,17
14757.242603758727,18
15681.989010939033,19
16641.92478057137,20
17548.62612879475,21
18449.79223957221,22
19491.921907425836,23
20439.825222580504,24
21423.61081463267,25
22361.94340794532,26
23211.821188620834,27
24150.153392546817,28
25142.301319676255,29
26061.907994278532,30
27006.34798614078,31
27796.940668533705,32
28763.80012505448,33
29678.301114442223,34
30639.345902301775,35
31610.332277000503,36
32594.79080189531,37
33564.17813320465,38
34435.99761945339,39
35384.613400557995,40
36253.021541892536,41
37294.80016646326,42
38229.71295367177,43
39104.77221864551,44
40089.97122935988,45
40952.83649859133,46
41944.927372760714,47
42867.79695332394,48
43822.37962680718,49
44661.09252408858,50
45644.95989832672,51
46620.257252367446,52
47553.93629540325,53
48479.77696788638,54
49161.71368649175,55
50139.371791746526,56
51117.159753124215,57
51995.74934681716,58
52872.581176394495,59
53692.81153768577,60
54546.72373106733,61
55481.49767551647,62
56413.08818478435,63
57189.25924155053,64
58164.95629635552,65
59005.51209471782,66
59913.38674195357,67
60731.22107446632,68
61596.66907061254,69
62493.95139632136,70
63400.91137480272,71
64362.94350716564,72
65256.44547710803,73
65650.89612748596,74
66442.25744466133,75
67411.8961997024,76
68334.75788214889,77
68841.38756880653,78
69689.30822640363,79
70681.14646188854,80
71498.77234165488,81
72328.80267284671,82
73254.53736391096,83
74142.39134394663,84
75025.82322386865,85
75955.18061753674,86
76802.89613443305,87
77789.5594480961,88
78512.63481259884,89
79470.5615213097,90
80127.3562864933,91
81046.94820390515,92
81934.1251116068,93
82769.24387634055,94
83687.49723856678,95
84600.79893577233,96
85522.61705792796,97
86484.36050976458,98
87369.65208608587,99
88104.757581916,100
88883.36311991262,101
89443.02736262283,102
90399.6183117968,103
91359.55214651789,104
92242.26041740588,105
93073.80761797898,106
93981.44839374101,107
94642.51679962824,108
95566.21626900912,109
96448.13646075249,110
97329.63336139724,111
98249.60963100639,112
98987.53647568163,113
99786.74615855938,114
100764.52582218875,115
101681.45398217505,116
102430.01574100045,117
103330.88017746659,118
104131.34431311581,119
104938.22464712444,120
105867.24349220707,121
106644.68076010991,122
106912.95519373711,123
107677.40512866995,124
109311.46836322238,125
109334.7842430332,126
110273.70531197108,127
111203.05199891728,128
112156.41794553609,129
112824.08498165265,130
113733.28609527701,131
114410.82646837788,132
115364.37976471185,133
116089.14791141708,134
116792.59690997022,135
117770.24249363813,136
118539.13696440494,137
119531.29960726055,138
120412.0928674759,139
120645.50949726539,140
121480.31777852689,141
122238.96370473488,142
122987.68304579819,143
123839.35805122148,144
124822.22391364699,145
125730.49512237888,146
126531.4884193307,147
127176.19439426156,148
127957.54370628348,149
128820.1197771666,150
129664.68181310005,151
130439.49735269314,152
131128.9605806088,153
132057.717797909,154
132987.6540371258,155
133633.2811706503,156
134386.3614273455,157
135076.7771404698,158
135639.09245507076,159
136249.62748648916,160
137172.33232472534,161
137574.2126531111,162
138558.04134820544,163
139105.24688537433,164
140049.89832570212,165
140824.57051150597,166
141738.4588164483,167
142727.61477879912,168
143536.92911556203,169
144348.15242990776,170
