value_f,size
0.0,0
188.98000000000002,1
244.72999999999993,2
341.85,3
492.2800000000001,4
526.14,5
550.8599999999998,6
571.8500000000001,7
644.7700000000003,8
695.2300000000004,9
717.8099999999996,10
747.8899999999998,11
784.4699999999998,12
789.0899999999999,13
817.4299999999998,14
843.1100000000004,15
856.0999999999996,16
858.2499999999997,17
869.6799999999997,18
872.5600000000001,19
903.9200000000005,20
915.3500000000004,21
920.48,22
925.8600000000004,23
935.7199999999997,24
943.66,25
965.8199999999998,26
978.8200000000003,27
984.5300000000003,28
992.8199999999996,29
1006.3599999999999,30
1017.98,32
1020.0600000000003,34
1030.1200000000001,35
1043.2600000000002,37
1043.6,38
1046.09,39
1056.2999999999997,40
1062.2199999999998,41
1064.0100000000002,42
1073.8699999999997,44
1080.2000000000003,45
1080.2999999999997,46
1083.8400000000004,47
1089.7899999999995,48
