value_f,size
0.0,0
164.75,1
261.8799999999999,2
309.41,3
339.4299999999999,4
516.1600000000002,5
534.2999999999998,6
650.2399999999998,7
679.4399999999999,8
765.1100000000002,9
803.0200000000001,10
814.84,11
815.11,12
824.9000000000001,13
840.0100000000007,14
840.0899999999998,15
855.4899999999997,17
870.5299999999999,18
877.1399999999999,19
889.2099999999999,20
919.8599999999999,21
941.3600000000005,22
946.2300000000001,23
950.4699999999999,24
958.19,25
968.4300000000003,26
972.3999999999996,29
998.2599999999994,30
1002.7599999999996,31
1005.0300000000001,32
1018.28,34
1029.0500000000006,35
1029.3899999999999,38
1032.25,39
1038.5000000000002,41
1045.6899999999998,42
1046.86,45
1053.6,46
1061.45,47
1066.3699999999997,48
1070.1,49
1073.2099999999998,50
1076.25,51
1092.84,53
1098.31,56
1098.6000000000001,58
1099.8799999999997,59
1108.37,60
1119.5400000000002,62
1141.5500000000002,63
1143.0400000000004,64
1152.979999999999,65
1153.4300000000005,66
1154.78,68
1155.6200000000001,69
1159.5999999999997,70
1164.0100000000007,71
1166.8300000000006,72
1182.6499999999996,74
1183.57,77
1194.9299999999994,78
1198.31,83
1200.5699999999997,85
1205.0800000000002,90
1208.950000000001,91
1225.8799999999994,92
