value_f,size
0.0,0
145.72,1
191.31000000000003,2
351.79999999999995,3
377.9100000000001,4
423.9799999999998,5
451.07999999999987,6
548.44,7
583.05,8
656.7499999999997,9
682.5999999999999,10
809.4000000000002,11
844.6800000000002,12
849.9,14
866.6999999999994,15
893.9600000000003,16
902.2400000000002,17
909.8000000000003,18
912.0,19
917.1299999999999,20
920.4000000000002,21
934.5699999999999,22
936.37,23
941.7700000000004,24
954.6799999999998,26
958.5799999999999,27
968.1900000000003,28
976.9900000000001,29
1008.7399999999999,30
1015.9199999999996,37
1035.6599999999999,38
1049.1,39
1057.1499999999999,40
1065.72,42
1066.8500000000001,43
1081.5299999999997,44
1089.77,46
1096.14,50
