value_f,size
-2851.0,0
-1853.375578352062,1
-875.7084193838268,2
115.14925966682313,3
1046.339246759835,4
1997.4880004591755,5
2981.3603056068437,6
3910.886248204569,7
4909.76083488561,8
5689.22543582398,9
6584.049088641228,10
7496.8978983597835,11
8476.763361578262,12
9414.014988774175,13
10391.809015655546,14
11175.905996283514,15
12173.727118553665,16
13085.273925370419,17
14059.966474909552,18
14905.0248553005,19
15853.861247433517,20
16825.335028414775,21
17192.164881567885,22
18240.14190727512,23
18962.768015164067,24
19798.734642936804,25
20779.17399061381,26
21600.85637043751,27
22381.351903368664,28
23363.946146510905,29
24329.701117543285,30
25321.94659444628,31
26164.398397862933,32
27002.21294968321,33
27635.3022209587,34
28548.021188726972,35
29101.109311566917,36
29899.065374817415,37
30807.89860977101,38
31474.055751802738,39
32283.49790279907,40
33107.92064726858,41
34070.32401311823,42
34930.631836874156,43
35762.223876489756,44
36655.41722538967,45
37523.057364013424,46
38403.9286464727,47
39122.51118571041,48
40053.45468459994,49
40886.322077583536,50
41537.4667330258,51
42286.56750935588,52
43304.29358951744,53
44288.075726021074,54
44781.895305690545,55
44936.691515709346,56
45856.66872620647,57
46737.2409977662,58
47489.374866960905,59
48323.93646849487,60
49105.51954631533,62
50091.03421003991,63
50884.93698289012,64
51677.92033623948,65
51901.01289630685,66
52832.52796683442,67
53729.41437255429,68
54476.79342399478,69
55648.10642844496,70
56022.34551712353,71
56759.22588465265,72
57153.311624433874,73
57541.50447954753,74
57790.021518330104,75
59266.6842805807,77
59540.13208518821,78
60082.861978565525,79
60973.120558091105,80
61739.11494785015,81
62596.89230355765,82
62955.57027161706,83
63939.435085755606,84
64224.10434050152,85
64730.98480205994,86
65508.49890116467,87
66207.82211485883,88
66899.2697543145,89
67308.79205664521,90
68106.29016632985,91
68688.61847103407,92
69590.88533917673,93
70192.3961257314,95
70617.9204251694,96
70664.5139054607,97
72086.81207974436,98
72556.87838630633,99
74012.92669676716,100
75527.44447553197,103
76098.5427486972,105
76637.41527525157,106
77575.66102009345,107
78389.17809300005,108
79041.32426237503,109
79777.85847070221,110
80443.03124683062,111
81118.38134486605,112
82110.49235698364,113
82669.44056961175,114
83337.39282065196,115
84141.43492193805,116
84348.68941613469,117
85340.32341276831,118
86249.20945744579,119
86927.89537334317,120
87879.69644750621,121
88583.57801004624,122
88809.79974018081,123
89209.70862059688,124
90095.48267537219,125
90538.87119376802,126
90678.50854217056,128
91698.45145029465,129
92546.42136255286,130
93468.23659599181,131
94437.27333850709,132
95147.84785495662,133
96089.28893715647,134
96483.26096488771,135
97274.4557306462,136
97823.28358464797,137
99287.4271473947,139
99587.41069665519,140
99899.98636270716,141
100319.48208512903,142
101119.86120457923,143
101305.69920496749,144
102463.0013690784,145
103350.3764751459,146
103933.70889449376,147
104612.18304501992,148
105407.56123041334,149
106298.52791634543,150
106719.18027477097,151
107114.05199571402,152
108139.1185516578,153
108487.54364148508,154
108920.67293597783,156
109811.6298296821,157
110378.68591474586,158
111911.05464436223,160
112011.22916167222,179
112687.15778556302,180
113675.18996964398,181
114210.88604480364,182
115099.88131331118,183
115933.14311434269,184
116133.98834956082,185
117091.77477860433,186
117737.34722565529,188
